kind,row_id,matched_row_id,similarity
external_internal,bbc_news:000014,bbc_news:000148,1.0
external_internal,bbc_news:000041,bbc_news:001511,0.986667
external_internal,bbc_news:000151,bbc_news:000848,0.998075
external_internal,bbc_news:000258,bbc_news:000890,0.99573
external_internal,bbc_news:000334,bbc_news:001343,1.0
external_internal,bbc_news:000340,bbc_news:002076,0.988974
external_internal,bbc_news:000345,bbc_news:001749,0.993721
external_internal,bbc_news:000361,bbc_news:000632,1.0
external_internal,bbc_news:000366,bbc_news:001362,0.995211
external_internal,bbc_news:000416,bbc_news:001003,0.993056
external_internal,bbc_news:000446,bbc_news:001866,0.993514
external_internal,bbc_news:000449,bbc_news:001274,0.995192
external_internal,bbc_news:000459,bbc_news:001681,0.996548
external_internal,bbc_news:000471,bbc_news:000605,0.998144
external_internal,bbc_news:000492,bbc_news:001332,0.996134
external_internal,bbc_news:000524,bbc_news:001734,0.997628
external_internal,bbc_news:000540,bbc_news:000616,0.996377
external_internal,bbc_news:000553,bbc_news:002170,1.0
external_internal,bbc_news:000589,bbc_news:000610,0.997647
external_internal,bbc_news:000649,bbc_news:002189,0.993964
external_internal,bbc_news:000688,bbc_news:002151,0.998069
external_internal,bbc_news:000701,bbc_news:002160,0.99864
external_internal,bbc_news:000709,bbc_news:000875,1.0
external_internal,bbc_news:000721,bbc_news:002167,0.998847
external_internal,bbc_news:000745,bbc_news:002001,0.995059
external_internal,bbc_news:000790,bbc_news:001260,0.992883
external_internal,bbc_news:000792,bbc_news:002010,1.0
external_internal,bbc_news:000805,bbc_news:001611,0.983951
external_internal,bbc_news:000918,bbc_news:001150,0.974516
external_internal,bbc_news:000938,bbc_news:001520,0.999025
external_internal,bbc_news:000992,bbc_news:001934,1.0
external_internal,bbc_news:001010,bbc_news:002113,0.994451
external_internal,bbc_news:001044,bbc_news:002053,0.981571
external_internal,bbc_news:001045,bbc_news:002088,0.987203
external_internal,bbc_news:001128,bbc_news:001861,0.982072
external_internal,bbc_news:001191,bbc_news:002187,1.0
external_internal,bbc_news:001441,bbc_news:002085,0.979699
external_internal,bbc_news:001764,bbc_news:002103,1.0
external_internal,bbc_news:001975,bbc_news:002174,0.987773
external_internal,huffpost:012019,huffpost:012020,0.941667
