kind,row_id,matched_row_id,text_hash,label,matched_label
external_internal_same_label,bbc_news:001679,bbc_news:000020,863d22391624153c5263d4378646445d46660222d46b938d872a923da037bda6,3,3
external_internal_same_label,bbc_news:001366,bbc_news:000065,48b7500265b1fa8ad67465c01b1f7cb9724fa35d29eb228cc94e1183393e49dd,3,3
external_internal_same_label,bbc_news:000496,bbc_news:000068,e65a08c198a4f25c00e6735d9e94b69b41f62a0fb27b7c5acf70ad53ba253a62,3,3
external_internal_same_label,bbc_news:000879,bbc_news:000071,8fa48ec8dc0e19c398020611f2cdf6415f350cea4d02b921670496b10e1b9e41,2,2
external_internal_same_label,bbc_news:000956,bbc_news:000109,601caac4315b76e03c45e6cfc170ecdb6f22feab312bb9c958841c083c64069a,3,3
external_internal_same_label,bbc_news:000972,bbc_news:000130,d6cbf38480c2352eb820949fbc2fce8a5360c6becfa18dd1f9e887bf609c7dad,3,3
external_internal_same_label,bbc_news:000781,bbc_news:000135,6a88182092886e64dff730326015c7307cb3b73ec4b17c6f416bcd17f58ee387,3,3
external_internal_same_label,bbc_news:001755,bbc_news:000137,b99f206d5d21666eaae9d2bc904f7dc825548b6a04aa41ae33d92ce848fb60f9,3,3
external_internal_same_label,bbc_news:001846,bbc_news:000144,06aa337f8e8a33205573c88d81e128d5fd0b79a286149a3f591e2c1d04806af9,3,3
external_internal_same_label,bbc_news:000543,bbc_news:000165,18b8ab5b2e650a5de6f959cca39c83c1c4b967651b5e56553e99f5a50c04c0f9,2,2
external_internal_same_label,bbc_news:000797,bbc_news:000236,412bfbf01f4284da22f0ed498c963cfcb44006e1543118706d96ce8e1e8a5169,3,3
external_internal_same_label,bbc_news:000666,bbc_news:000247,72d7b626dabcf235ef6391db7415ead9021b18fb972de8810da60d0cee716621,2,2
external_internal_same_label,bbc_news:001830,bbc_news:000264,251240948f37e4bb3f30ba5c78123309dd98938a6739bee3bfcbf15fc0048424,3,3
external_internal_same_label,bbc_news:000510,bbc_news:000265,f565d250bf0a9c6e2d0ac7a0fae90fc999951b2f3a06bddfc46c7d7fba1f4010,1,1
external_internal_same_label,bbc_news:001181,bbc_news:000271,2266c69880907fc05188c178296f6dd08c697068fa99e241814e3ed71b49e0e4,3,3
