row_id,source_dataset,label,label_name,text_hash,reason,detail
bbc_news:001679,bbc_news,3,Sci/Tech,863d22391624153c5263d4378646445d46660222d46b938d872a923da037bda6,external_same_label_exact_duplicate,bbc_news:000020
bbc_news:001366,bbc_news,3,Sci/Tech,48b7500265b1fa8ad67465c01b1f7cb9724fa35d29eb228cc94e1183393e49dd,external_same_label_exact_duplicate,bbc_news:000065
bbc_news:000496,bbc_news,3,Sci/Tech,e65a08c198a4f25c00e6735d9e94b69b41f62a0fb27b7c5acf70ad53ba253a62,external_same_label_exact_duplicate,bbc_news:000068
bbc_news:000879,bbc_news,2,Business,8fa48ec8dc0e19c398020611f2cdf6415f350cea4d02b921670496b10e1b9e41,external_same_label_exact_duplicate,bbc_news:000071
bbc_news:000956,bbc_news,3,Sci/Tech,601caac4315b76e03c45e6cfc170ecdb6f22feab312bb9c958841c083c64069a,external_same_label_exact_duplicate,bbc_news:000109
bbc_news:000972,bbc_news,3,Sci/Tech,d6cbf38480c2352eb820949fbc2fce8a5360c6becfa18dd1f9e887bf609c7dad,external_same_label_exact_duplicate,bbc_news:000130
bbc_news:000781,bbc_news,3,Sci/Tech,6a88182092886e64dff730326015c7307cb3b73ec4b17c6f416bcd17f58ee387,external_same_label_exact_duplicate,bbc_news:000135
bbc_news:001755,bbc_news,3,Sci/Tech,b99f206d5d21666eaae9d2bc904f7dc825548b6a04aa41ae33d92ce848fb60f9,external_same_label_exact_duplicate,bbc_news:000137
bbc_news:001846,bbc_news,3,Sci/Tech,06aa337f8e8a33205573c88d81e128d5fd0b79a286149a3f591e2c1d04806af9,external_same_label_exact_duplicate,bbc_news:000144
bbc_news:000543,bbc_news,2,Business,18b8ab5b2e650a5de6f959cca39c83c1c4b967651b5e56553e99f5a50c04c0f9,external_same_label_exact_duplicate,bbc_news:000165
bbc_news:000797,bbc_news,3,Sci/Tech,412bfbf01f4284da22f0ed498c963cfcb44006e1543118706d96ce8e1e8a5169,external_same_label_exact_duplicate,bbc_news:000236
bbc_news:000666,bbc_news,2,Business,72d7b626dabcf235ef6391db7415ead9021b18fb972de8810da60d0cee716621,external_same_label_exact_duplicate,bbc_news:000247
bbc_news:001830,bbc_news,3,Sci/Tech,251240948f37e4bb3f30ba5c78123309dd98938a6739bee3bfcbf15fc0048424,external_same_label_exact_duplicate,bbc_news:000264
bbc_news:000510,bbc_news,1,Sports,f565d250bf0a9c6e2d0ac7a0fae90fc999951b2f3a06bddfc46c7d7fba1f4010,external_same_label_exact_duplicate,bbc_news:000265
bbc_news:001181,bbc_news,3,Sci/Tech,2266c69880907fc05188c178296f6dd08c697068fa99e241814e3ed71b49e0e4,external_same_label_exact_duplicate,bbc_news:000271
bbc_news:000657,bbc_news,3,Sci/Tech,66792630b94369f0deab4f4015a2bf429633533de4678a78ad0df11a57739a31,external_same_label_exact_duplicate,bbc_news:000291
bbc_news:001206,bbc_news,3,Sci/Tech,e7e5ee3fe0a875ff2cbefffcc726220019fbeaa5ed31144cf7cd1f96510d519e,external_same_label_exact_duplicate,bbc_news:000349
bbc_news:001992,bbc_news,3,Sci/Tech,40ce45060b2071985694deeeffd73bc5d30460268804a5cc6422357f3ac72858,external_same_label_exact_duplicate,bbc_news:000371
bbc_news:002213,bbc_news,3,Sci/Tech,128677adde2ec34b982a357d8d92ca0b3586b1f5592200f1a5e2b30a19f3f35a,external_same_label_exact_duplicate,bbc_news:000401
bbc_news:001217,bbc_news,1,Sports,6921da31d783a7b1252b8159acf6bcf61341e35c1776835cbbaf06d670ba0b68,external_same_label_exact_duplicate,bbc_news:000426
bbc_news:000778,bbc_news,2,Business,c6224d2e4f6f1c3a8867442849128c6f877f7828e1f9cc44a8617b40c9a2dd2c,external_same_label_exact_duplicate,bbc_news:000430
bbc_news:001599,bbc_news,3,Sci/Tech,0ba8ec1c4447878fd647a3cfb258f7209aca57493be2890d54f799dd418d81ed,external_same_label_exact_duplicate,bbc_news:000477
