text_hash,row_id,label,label_name,all_conflicting_labels,title_clean,description_clean
07cc993612555acdedf1e5729c56d89e6a1e651a10be12c3180b2dbc86712fc8,train_096517,0,World,"0,2",WTO Negotiators Finish Week of Farm Talks,"Negotiators at the World Trade Organization completed weeklong farm talks Friday, part of discussions on ways to reach a wider-ranging liberalization accord by the end of 2005."
07cc993612555acdedf1e5729c56d89e6a1e651a10be12c3180b2dbc86712fc8,train_097765,2,Business,"0,2",WTO negotiators finish week of farm talks,"Negotiators at the World Trade Organization completed weeklong farm talks Friday, part of discussions on ways to reach a wider-ranging liberalization accord by the end of 2005."
110b0e8af063761dc87622a1b2da57477aae87a03afbe4588abf645a5e0789d3,train_063521,2,Business,"2,3",Ford to Expand Offering of Sirius Radio,"NEW YORK (Reuters) - Ford Motor Co. F.N said on Monday it would offer Sirius satellite radio in more vehicles, as Sirius fights to catch up with industry leader XM Satellite Radio Holdings Inc. XMSR.O"
110b0e8af063761dc87622a1b2da57477aae87a03afbe4588abf645a5e0789d3,train_063608,3,Sci/Tech,"2,3",Ford to Expand Offering of Sirius Radio,"NEW YORK (Reuters) - Ford Motor Co. F.N said on Monday it would offer Sirius satellite radio in more vehicles, as Sirius fights to catch up with industry leader XM Satellite Radio Holdings Inc. XMSR.O"
11845f0a448b9dad0f21c8c7539a2b27e63f238fbb60cd7a8ee609d1052bb641,train_044611,2,Business,"2,3",New Company Starts Up a Challenge to Google,Google executives have long conceded that one of their great fears is to be overtaken by a more advanced Internet search technology.
11845f0a448b9dad0f21c8c7539a2b27e63f238fbb60cd7a8ee609d1052bb641,train_048023,3,Sci/Tech,"2,3",New company starts up a challenge to Google,Google executives have long conceded that one of their great fears is to be overtaken by a more advanced Internet search technology.
17a58edfd79a5efa37d5623d3eaa99d86c78d4b15c5745b9e2cb4c3eef6944ab,train_115822,2,Business,"2,3",RIM Patent Suit Partly Upheld,"TORONTO/WASHINGTON (Reuters) - A U.S. appeals court upheld a patent infringement finding against BlackBerry e-mail device maker Research In Motion Ltd. RIM.TO on Tuesday, but said part of an earlier court ruling was flawed and sent the case back to a lower court."
17a58edfd79a5efa37d5623d3eaa99d86c78d4b15c5745b9e2cb4c3eef6944ab,train_115921,3,Sci/Tech,"2,3",RIM Patent Suit Partly Upheld,"TORONTO/WASHINGTON (Reuters) - A U.S. appeals court upheld a patent infringement finding against BlackBerry e-mail device maker Research In Motion Ltd. RIM.TO on Tuesday, but said part of an earlier court ruling was flawed and sent the case back to a lower court."
2404366d04e7cf13d621163a40eec796c19b33bbbd2046a83f58e36be72ca665,train_004437,2,Business,"2,3",Judges rule file-sharing software legal,update A federal appeals court has upheld a controversial court decision that said file-sharing software programs such as Grokster or Morpheus are legal.
2404366d04e7cf13d621163a40eec796c19b33bbbd2046a83f58e36be72ca665,train_006399,3,Sci/Tech,"2,3",Judges rule file-sharing software legal,update A federal appeals court has upheld a controversial court decision that said file-sharing software programs such as Grokster or Morpheus are legal.
319de3d8caa5c0a7d85ed11c48904d05d7dce1ecdeb08d3f0c67861c4403c8dd,train_057728,2,Business,"0,2",Oil Firms Say Iraqi Purchases Were Legal,Two large American oil companies that received profitable vouchers to buy Iraqi oil under the United Nations' oil-for-food program said yesterday that the purchases complied with U.S. law.
319de3d8caa5c0a7d85ed11c48904d05d7dce1ecdeb08d3f0c67861c4403c8dd,train_057970,0,World,"0,2",Oil Firms Say Iraqi Purchases Were Legal,Two large American oil companies that received profitable vouchers to buy Iraqi oil under the United Nations' oil-for-food program said yesterday that the purchases complied with U.S. law.
41562a5dd6f2a11736b158d9121068ba5d859f0f3434db83b3d9dc7e351976ed,train_112701,2,Business,"2,3",PayPal and Apple iTunes link-up,Payment system Paypal announces a tie-up with Apple's iTunes as it continues to secure new business with online retailers.
41562a5dd6f2a11736b158d9121068ba5d859f0f3434db83b3d9dc7e351976ed,train_112770,3,Sci/Tech,"2,3",Paypal and Apple iTunes link-up,Payment system Paypal announces a tie-up with Apple's iTunes as it continues to secure new business with online retailers.
4506492a22fd6a0ac5766fdfd5504fe092ace142181ce7a8026972eeecb94d22,train_004671,2,Business,"2,3",Amazon to purchase Chinese on-line retailer,"Amazon.com Inc. has agreed to buy Joyo.com, China's largest on-line retailer of books, music and videos, for $75-million (US) to gain access to the world's second-biggest Internet market."
4506492a22fd6a0ac5766fdfd5504fe092ace142181ce7a8026972eeecb94d22,train_005653,3,Sci/Tech,"2,3",Amazon to purchase Chinese on-line retailer,"Amazon.com Inc. has agreed to buy Joyo.com, China's largest on-line retailer of books, music and videos, for $75-million (US) to gain access to the world's second-biggest Internet market."
46c6ac4efd2b0e85102b6111abe9ad784a06c2846df76869c2deb7f7a6943763,train_028400,2,Business,"2,3",J.P. Morgan Cancels IBM Outsourcing Deal,"WASHINGTON (Reuters) - J.P. Morgan Chase Co. JPM.N said on Wednesday it was canceling a $5 billion outsourcing deal with IBM Corp., IBM.N and planned to rehire about 4,000 workers who had been transferred to IBM under the pact."
46c6ac4efd2b0e85102b6111abe9ad784a06c2846df76869c2deb7f7a6943763,train_028484,3,Sci/Tech,"2,3",J.P. Morgan Cancels IBM Outsourcing Deal,"WASHINGTON (Reuters) - J.P. Morgan Chase Co. JPM.N said on Wednesday it was canceling a $5 billion outsourcing deal with IBM Corp., IBM.N and planned to rehire about 4,000 workers who had been transferred to IBM under the pact."
4ee05f6f8f01d90d5c188447c86e9a49210a2ecb7c1e2470c860a581e27e5be9,train_075044,2,Business,"2,3",Google buys digital mapping company,"Google Inc. has bought digital map maker Keyhole Corp., extending the search engine leader's bid to fend off rivals with a toolbox that can catalog almost anything in the world."
4ee05f6f8f01d90d5c188447c86e9a49210a2ecb7c1e2470c860a581e27e5be9,train_075690,3,Sci/Tech,"2,3",Google Buys Digital Mapping Company,"Google Inc. has bought digital map maker Keyhole Corp., extending the search engine leader's bid to fend off rivals with a toolbox that can catalog almost anything in the world."
4ee05f6f8f01d90d5c188447c86e9a49210a2ecb7c1e2470c860a581e27e5be9,train_078318,3,Sci/Tech,"2,3",Google Buys Digital Mapping Company,"Google Inc. has bought digital map maker Keyhole Corp., extending the search engine leader's bid to fend off rivals with a toolbox that can catalog almost anything in the world."
4f51b9a244a7c6d48a69706cc4aa84413b19767b9df70902fcccbe503ee10a00,train_020802,2,Business,"2,3",Laser Printers Recalled for Shock Hazard - CPSC,"WASHINGTON (Reuters) - About 39,400 laser printers made by Lexmark International Inc. LXK.N and sold by IBM IBM.N and Dell Inc. DELL.O are being recalled in the United States because of a potential electrical shock hazard, the Consumer Product Safety Commission said on Tuesday."
4f51b9a244a7c6d48a69706cc4aa84413b19767b9df70902fcccbe503ee10a00,train_020859,3,Sci/Tech,"2,3",Laser Printers Recalled for Shock Hazard - CPSC,"WASHINGTON (Reuters) - About 39,400 laser printers made by Lexmark International Inc. LXK.N and sold by IBM IBM.N and Dell Inc. DELL.O are being recalled in the United States because of a potential electrical shock hazard, the Consumer Product Safety Commission said on Tuesday."
5166430fef8fa4d83c79e35a17b75900dbc5bf62e6df4b7baab8f31f89b20a16,train_066910,2,Business,"2,3",General Dynamics Posts Profit,Defense contractor General Dynamics Corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.
5166430fef8fa4d83c79e35a17b75900dbc5bf62e6df4b7baab8f31f89b20a16,train_067213,3,Sci/Tech,"2,3",General Dynamics Posts Profit,Defense contractor General Dynamics Corp. reported a 23 percent jump in profit in its third quarter yesterday despite escalating costs on a contract to build commercial oil tankers.
57c22da1794d5536bde9124c72e806b33936caf68c1a43914c647702ed40a899,train_045885,2,Business,"2,3","From Spam To Lacrosse, A Day for The Books","New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland."
57c22da1794d5536bde9124c72e806b33936caf68c1a43914c647702ed40a899,train_046381,3,Sci/Tech,"2,3","From Spam To Lacrosse, A Day for The Books","New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland."
59c7c0c96a7976cb9b455c6360d850443fa39a31265d0e63bb18829fcf30dec1,train_072023,2,Business,"2,3",Intel Invests in New Wireless Venture,"Hoping to accelerate the deployment of a new wireless technology, Intel Corp. announced Monday it's invested in a venture started by billionaire Craig McCaw to deliver high-speed Internet service over the airwaves."
59c7c0c96a7976cb9b455c6360d850443fa39a31265d0e63bb18829fcf30dec1,train_072874,3,Sci/Tech,"2,3",Intel Invests in New Wireless Venture,"Hoping to accelerate the deployment of a new wireless technology, Intel Corp. announced Monday it's invested in a venture started by billionaire Craig McCaw to deliver high-speed Internet service over the airwaves."
63221154553fb08ef149dd4684f6a163997c550842e388f0dd3d0d92016b646a,train_093852,2,Business,"2,3",RIM's BlackBerry Subscribers Top 2 Mln,"TORONTO (Reuters) - The BlackBerry wireless e-mail device is now being used by a record two million subscribers, less than a year after it topped the one million market, Research In Motion Ltd. (RIM) RIM.TO said on Wednesday."
63221154553fb08ef149dd4684f6a163997c550842e388f0dd3d0d92016b646a,train_093877,3,Sci/Tech,"2,3",RIM's BlackBerry Subscribers Top 2 Mln,"TORONTO (Reuters) - The BlackBerry wireless e-mail device is now being used by a record two million subscribers, less than a year after it topped the one million market, Research In Motion Ltd. (RIM) RIM.TO said on Wednesday."
677ffc5b0366c0b8f4f1789cbd52df2f15c79dc31b623c383baf5a76729890b7,train_045578,2,Business,"2,3",Research in Motion 2Q Profit Soars,"Research In Motion Ltd., which makes the BlackBerry handheld device and other mobile products, on Thursday said its second-quarter profit rose significantly on improved sales."
677ffc5b0366c0b8f4f1789cbd52df2f15c79dc31b623c383baf5a76729890b7,train_045707,3,Sci/Tech,"2,3",Research In Motion 2Q Profit Soars,"Research In Motion Ltd., which makes the BlackBerry handheld device and other mobile products, on Thursday said its second-quarter profit rose significantly on improved sales."
6a7bb723eb1a165fc9da8d184f93f7936bdc3c4c3aaa7ff7dba4be0211271a51,train_002809,2,Business,"0,2",OPEC Hawks Want to Keep Prices High,"Raise prices. Ease production. For weeks ahead of this week's OPEC meeting, hawks in the organization have been talking tough about the need to keep oil revenues high - and lowering output."
6a7bb723eb1a165fc9da8d184f93f7936bdc3c4c3aaa7ff7dba4be0211271a51,train_109569,0,World,"0,2",OPEC Hawks Want to Keep Prices High,"Raise prices. Ease production. For weeks ahead of this week's OPEC meeting, hawks in the organization have been talking tough about the need to keep oil revenues high - and lowering output."
6eecdabb137a06cf7857d90deb6e8149ac61163e4179759ccb4904af78b7d805,train_056235,0,World,"0,2",Proposed Trinidad Alcoa Plant Expanding,"The production capacity of Alcoa Inc.'s proposed aluminum plant in Trinidad is being expanded by 29 percent, the prime minister said."
6eecdabb137a06cf7857d90deb6e8149ac61163e4179759ccb4904af78b7d805,train_056405,2,Business,"0,2",Proposed Trinidad Alcoa Plant Expanding,"The production capacity of Alcoa Inc.'s proposed aluminum plant in Trinidad is being expanded by 29 percent, the prime minister said."
74ec6a276dc0a2b7f199a749e6bc3feecd93e2e85c0cc6a4836493a44467310b,train_007850,2,Business,"2,3",Intel Seen Readying New Wi-Fi Chips,"SAN FRANCISCO (Reuters) - Intel Corp. INTC.O this week is expected to introduce a chip that adds support for a relatively obscure version of Wi-Fi, analysts said on Monday, in a move that could help ease congestion on wireless networks."
74ec6a276dc0a2b7f199a749e6bc3feecd93e2e85c0cc6a4836493a44467310b,train_007870,3,Sci/Tech,"2,3",Intel Seen Readying New Wi-Fi Chips,"SAN FRANCISCO (Reuters) - Intel Corp. INTC.O this week is expected to introduce a chip that adds support for a relatively obscure version of Wi-Fi, analysts said on Monday, in a move that could help ease congestion on wireless networks."
7a08695885ca26413f1272c3f1032bb5365f0f69d16fc2372b7f69fe879f9bab,train_093254,2,Business,"2,3",Four Companies Plan Expansion in Virginia,"Four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in Virginia over the next five years, Gov. Mark R. Warner is to announce today."
7a08695885ca26413f1272c3f1032bb5365f0f69d16fc2372b7f69fe879f9bab,train_093557,3,Sci/Tech,"2,3",Four Companies Plan Expansion in Virginia,"Four companies are planning to hire more than 10,000 workers for new homeland security-related jobs in Virginia over the next five years, Gov. Mark R. Warner is to announce today."
800fb9ef78210fa8d9eddbe270a489a9b78aa22d6075fd597df60db5160880ca,train_117520,2,Business,"2,3",FCC Considers Cell Phone Use On Airplanes,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday."
800fb9ef78210fa8d9eddbe270a489a9b78aa22d6075fd597df60db5160880ca,train_117538,3,Sci/Tech,"2,3",FCC Considers Cell Phone Use On Airplanes,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday."
877eef55bf1631ee0c958bb96ff247db8bc626f536a542e31b8dc0b4c77e6a08,train_092069,3,Sci/Tech,"0,3",Europe probe arrives at the Moon,"The Smart 1 lunar probe has entered into orbit around the Moon, the first ever European mission to do so."
877eef55bf1631ee0c958bb96ff247db8bc626f536a542e31b8dc0b4c77e6a08,train_092077,0,World,"0,3",Europe probe arrives at the Moon,"The Smart 1 lunar probe has entered into orbit around the Moon, the first ever European mission to do so."
