row_id,text_hash,original_label,reason,representative_row_id
train_005852,03174bdc5cdfb38c7c77e27742644951f8861028d1382b95f8e6723ae30b3103,3,same_label_duplicate,train_004950
train_096517,07cc993612555acdedf1e5729c56d89e6a1e651a10be12c3180b2dbc86712fc8,0,conflicting_label_duplicate,
train_097765,07cc993612555acdedf1e5729c56d89e6a1e651a10be12c3180b2dbc86712fc8,2,conflicting_label_duplicate,
train_013479,0a6850cd150de7be3cfcfbf89f327e3da3b7c01ab0d302afd8f582a42de62b96,3,same_label_duplicate,train_013157
train_004665,0c2c3bfa25dae3130a6ad7bd248a077f060a2249c040e6a4878b4641b3443829,2,same_label_duplicate,train_004630
train_103592,0cc10920193b32e378af83f0954734e6d9eeb5474c3fbb542e76a78fded163e9,3,same_label_duplicate,train_101029
train_060107,0f25cdb0b8ee219fb25d319bdf60ea6882a4da4a3362f3eaedd9b05c210bd53f,3,same_label_duplicate,train_059911
train_058574,0fbf32543b445b377f3cded0f35c00168ef8008b69ba99b4fa5390a3518a0068,1,same_label_duplicate,train_058499
train_063521,110b0e8af063761dc87622a1b2da57477aae87a03afbe4588abf645a5e0789d3,2,conflicting_label_duplicate,
train_063608,110b0e8af063761dc87622a1b2da57477aae87a03afbe4588abf645a5e0789d3,3,conflicting_label_duplicate,
train_044611,11845f0a448b9dad0f21c8c7539a2b27e63f238fbb60cd7a8ee609d1052bb641,2,conflicting_label_duplicate,
train_048023,11845f0a448b9dad0f21c8c7539a2b27e63f238fbb60cd7a8ee609d1052bb641,3,conflicting_label_duplicate,
train_001617,12f2912ca39901beff531e78e1dbb7607681a2b12bd8a07767884d82d17273cd,1,same_label_duplicate,train_001592
train_072254,143e12aa01012a9235692053038fa8cccda3c92b1746dcb46ebe3e092d50984b,3,same_label_duplicate,train_071912
train_107522,14a2e97b871c657a2ceaf619b9e8d0d96852edec9bd9de7524010d550aa7197a,2,same_label_duplicate,train_107416
train_089666,16256a486e8c03382d9c480370be9735e2d62c384e7fb9ff0ec14290e1773b06,3,same_label_duplicate,train_088557
train_094646,1711b59884dce0889c8e22ad0de85bf77fbe577c3e9205cdb3424144817c1c18,3,same_label_duplicate,train_094093
train_115822,17a58edfd79a5efa37d5623d3eaa99d86c78d4b15c5745b9e2cb4c3eef6944ab,2,conflicting_label_duplicate,
train_115921,17a58edfd79a5efa37d5623d3eaa99d86c78d4b15c5745b9e2cb4c3eef6944ab,3,conflicting_label_duplicate,
